timestamp,level,module,method,line,component,event_type,action,duration_ms,parent_event_id,agent,system,metadata
2026-04-27T00:21:15.609,INFO,main,run,128,main,pre_flight,checks_started,,,DigitalAuditor,DigitalAuditor,"{""context_id"": ""a1de40fd""}"
2026-04-27T00:21:45.622,WARNING,gigachat_validator,check_connection,69,gigachat_validator,provider_check,gigachat_timeout,,,DigitalAuditor,DigitalAuditor,"{""context_id"": ""a1de40fd"", ""reason"": ""pre_flight"", ""timeout_ms"": 30000, ""actual_latency_ms"": 30012}"
2026-04-27T00:21:45.633,INFO,main,run,148,main,pre_flight,ollama_available,,,DigitalAuditor,DigitalAuditor,"{""context_id"": ""a1de40fd"", ""base_url"": ""http://localhost:11434""}"
2026-04-27T00:21:45.634,INFO,main,run,163,main,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Using auditor: cisa""}"
2026-04-27T00:22:15.669,WARNING,gigachat_validator,check_connection,69,gigachat_validator,provider_check,gigachat_timeout,,,DigitalAuditor,DigitalAuditor,"{""context_id"": ""a1de40fd"", ""reason"": ""pre_audit_check"", ""timeout_ms"": 30000, ""actual_latency_ms"": 30034}"
2026-04-27T00:22:15.670,INFO,main,run,181,main,pre_flight,provider_selected,,,DigitalAuditor,DigitalAuditor,"{""context_id"": ""a1de40fd"", ""provider"": ""ollama"", ""fallback_reason"": ""gigachat_unavailable"", ""model"": ""digital-auditor-cisa""}"
2026-04-27T10:56:41.367,ERROR,document_converter,_check_deps,39,document_converter,error,error_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Missing dependencies: pdf2zh\nInstall: pip install pdf2zh""}"
2026-04-27T10:56:45.313,ERROR,document_converter,_check_deps,39,document_converter,error,error_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Missing dependencies: docling\nInstall: pip install docling""}"
2026-04-27T11:02:08.609,INFO,document_converter,translate_pdf,88,document_converter,info,info_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""Translating CISA Review Manual.pdf → CISA Review Manual_ru.pdf (lang=ru)""}"
2026-04-27T11:02:11.778,ERROR,document_converter,translate_pdf,96,document_converter,error,error_msg,,,DigitalAuditor,DigitalAuditor,"{""message"": ""pdf2zh failed: usage: pdf2zh [-h] [--version] [--debug] [--pages PAGES] [--vfont VFONT]\n              [--vchar VCHAR] [--lang-in LANG_IN] [--lang-out LANG_OUT]\n              [--service SERVICE] [--output OUTPUT] [--thread THREAD]\n              [--interactive] [--share] [--flask] [--celery]\n              [--authorized AUTHORIZED [AUTHORIZED ...]] [--prompt PROMPT]\n              [--compatible] [--onnx ONNX] [--serverport SERVERPORT] [--dir]\n              [--config CONFIG] [--babeldoc] [--skip-subset-fonts]\n              [--ignore-cache] [--mcp] [--sse]\n              [files ...]\npdf2zh: error: unrecognized arguments: --openai-model GigaChat-2-Max --openai-api-key MDE5ZDE1YWYtNzJjYS03NjNiLTk5NjYtYWU1ZGQ1OTQzMDBjOjQ5ODNjYzNlLTA1ZTItNDExNi1iNGMzLTcyOWE4MmVhYTI0NQ== --openai-base-url https://api.gigachat.ru/api/v1\n""}"
